rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
958,1.33,JURIX,2023,0,0,0,0,2,1,determinacy,BUNDESTAG-MINE: Natural Language Processing for Extracting Key Information from Government Documents,Kevin Bönisch; Giuseppe Abrami; Sabine Wehnert; Alexander Mehler,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230996,conf/jurix/AbramiWM23
959,1.33,JURIX,2023,0,0,0,0,2,1,intro-executable,Insurance Portfolio Analysis as Containment Testing,Preston Carlson; Michael R. Genesereth,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230957,conf/jurix/CarlsonG23
960,1.33,JURIX,2024,0,0,0,0,2,1,bounded-deontics,Harmonizing AI Data Governance: Profiling ISO/IEC 5259 to Meet the Requirements of the EU AI Act,Kuruvilla George Aiyankovil; Dave Lewis,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241270,conf/jurix/Aiyankovil024
961,1.32,ICAIL,1989,0,0,0,1,12,0,,A Specialized Expert System for Judicial Decision Support,V. P. Pethe; C. P. Rippey; Laxmikant V. Kalé,https://dl.acm.org/doi/pdf/10.1145/74014.74038,conf/icail/PetheRK89
962,1.32,ICAIL,2013,0,0,0,1,12,0,,Extracting debate graphs from parliamentary transcripts: a study directed at UK house of commons debates,Zaher Salah; Frans Coenen; Davide Grossi,,conf/icail/SalahCG13
963,1.3,ICAIL,1991,0,0,0,1,11,0,,Conceptual Information Retrieval in Litigation Support Systems,Vijay Mital; Agathoclis Kyprou Stylianou; Les Johnson,,conf/icail/MitalSJ91
964,1.3,ICAIL,2007,0,0,0,1,11,0,,P2P systems in legal networks: another &quot;small world&quot; case,Ugo Pagallo; Giancarlo Ruffo,,conf/icail/PagalloR07
965,1.3,ICAIL,2019,0,0,0,1,11,0,,Machine learning for explaining and ranking the most influential matters of law,Max Raphael Sobroza Marques; Tommaso Bianco; Maxime Roodnejad; Thomas Baduel; Claude Berrou,,conf/icail/MarquesBRBB19
966,1.3,ICAIL,2023,0,0,0,1,11,0,,Keyword-based Augmentation Method to Enhance Abstractive Summarization for Legal Documents,Huyen Nguyen; Junhua Ding,,conf/icail/NguyenD23
967,1.3,JURIX,2012,0,0,0,1,11,0,,Citation Analysis and Beyond: in Search of Indicators Measuring Case Law Importance,Marc van Opijnen,,conf/jurix/Opijnen12
968,1.3,JURIX,2020,0,0,0,1,11,0,,A Common Semantic Model of the GDPR Register of Processing Activities,Paul Ryan; Harshvardhan J. Pandit; Rob Brennan,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200876,conf/jurix/RyanPB20
969,1.29,ICAIL,2023,0,0,0,2,3,0,,Beyond Readability with RateMyPDF: A Combined Rule-based and Machine Learning Approach to Improving Court Forms,Quinten Steenhuis; Bryce Willey; David Colarusso,,conf/icail/SteenhuisWC23
970,1.29,JURIX,2018,0,0,0,2,3,0,,Using Agreement Statements to Identify Majority Opinion in UKHL Case Law,Josef Valvoda; Oliver Ray; Ken Satoh,https://doi.org/10.3233/978-1-61499-935-5-141,conf/jurix/ValvodaRS18
971,1.29,JURIX,2020,0,0,0,2,3,0,,Evaluating the Data Privacy of Mobile Applications Through Crowdsourcing,Ioannis Chrysakis; Giorgos Flouris; George Ioannidis; Maria Makridaki; Theodore Patkos; Yannis Roussakis; Georgios Samaritakis; Alexandru Stan; Nikoleta Tsampanaki; Elias Tzortzakakis; Elisjana Ymeralli,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200868,conf/jurix/ChrysakisFIMPRS20
972,1.29,JURIX,2023,0,0,0,2,3,0,,Centrality Scores and Precedent Value in Legal Network Analysis,Gijs van Dijck,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230970,conf/jurix/Dijck23
973,1.27,ICAIL,2007,0,0,0,1,10,0,,Legal atlas: access to legal sources through maps,Radboud Winkels; Alexander Boer; Erik Hupkes,,conf/icail/WinkelsBH07
974,1.27,ICAIL,2017,0,0,0,1,10,0,,A sequence approach to case outcome detection,Tom Vacek; Frank Schilder,,conf/icail/VacekS17
975,1.27,JURIX,2018,0,0,0,1,10,0,,Chronicle of a Clash Foretold: Blockchains and the GDPR&apos;s Right to Erasure,Ugo Pagallo; Eleonora Bassi; Marco Crepaldi; Massimo Durante,https://doi.org/10.3233/978-1-61499-935-5-81,conf/jurix/PagalloBCD18
976,1.25,ICAIL,1989,0,0,0,1,9,0,,An Attempted Dimensional Analysis of the Law Governing Government Appeals in Criminal Cases,Simon Mendelson,https://dl.acm.org/doi/pdf/10.1145/74014.74032,conf/icail/Mendelson89
977,1.25,ICAIL,1993,0,0,0,1,9,0,,Towards a Legal Analogical Reasoning System: Knowledge Representation and Reasoning Methods,Hajime Yoshino; Makoto Haraguchi; Seiichiro Sakurai; Sigeru Kagayama,,conf/icail/YoshinoHSK93
978,1.25,ICAIL,1995,0,0,0,1,9,0,,Intelligent Computer Systems for Criminal Sentencing,Uri J. Schild,https://dl.acm.org/doi/pdf/10.1145/222092.222247,conf/icail/Schild95
979,1.25,JURIX,2008,0,0,0,1,9,0,,Development of a mediation tool in Family Law: AssetDivider,Emilia Bellucci,,conf/jurix/Bellucci08
980,1.25,JURIX,2012,0,0,0,1,9,0,,Multi-label Classification of Legislative Text into EuroVoc,Guido Boella; Luigi Di Caro; Leonardo Lesmo; Daniele Rispoli; Livio Robaldo,,conf/jurix/BoellaCLRR12
981,1.21,DEON,2006,0,0,0,0,1,1,bounded-deontics,Propositional Quantifiers in Deontic Logic,Gert-Jan C. Lokhorst,,conf/deon/Lokhorst06
982,1.21,DEON,2014,0,0,0,0,1,1,bounded-deontics,A Deontic Logic of Actions and States,Robert Trypuz; Piotr Kulicki,,conf/deon/TrypuzK14
983,1.21,ICAIL,1995,0,0,0,1,8,0,,Just Decisions Using Multiple Criteria Or: Who Gets the Porsche? An Application of Ronald R. Yager&apos;s Fuzzy Logic Method,Lothar Philipps,https://dl.acm.org/doi/pdf/10.1145/222092.222237,conf/icail/Philipps95
984,1.21,ICAIL,2001,0,0,0,0,1,1,determinacy,System development a la MODDE,Tunde Meikle; John Yearwood,,conf/icail/MeikleY01
985,1.21,ICAIL,2009,0,0,0,0,1,1,determinacy,Intelligent hybrid approach to false identity detection,Tossapon Boongoen; Qiang Shen,,conf/icail/BoongoenS09
986,1.21,ICAIL,2009,0,0,0,1,8,0,,Definitions in Court Decisions - Automatic Extraction and Ontology Acquisition,Stephan Walter; Manfred Pinkal,,conf/icail/WalterP09
987,1.21,ICAIL,2021,0,0,0,0,1,1,determinacy,Prediction of monetary penalties for data protection cases in multiple languages,Aaron Ceross; Tingting Zhu,,conf/icail/CerossZ21
988,1.21,ICAIL,2025,0,0,0,0,1,1,determinacy,"Bridging Legal Knowledge and AI: Retrieval-Augmented Generation with Vector Stores, Knowledge Graphs, and Hierarchical Non-negative Matrix Factorization",Ryan Calvin Barron; Maksim Ekin Eren; Olga M. Serafimova; Cynthia Matuszek; Boian S. Alexandrov,https://doi.org/10.1145/3769126.3769215,conf/icail/BarronESMA25
989,1.21,ICAIL,2025,0,0,0,0,1,1,determinacy,From Legal Text to Tech Specs: Generative AI&apos;s Interpretation of Consent in Privacy Law,Aniket Kesari; Travis D. Breaux; Sarah Santos; Tom Norton; Anmol Singhal,https://doi.org/10.1145/3769126.3769241,conf/icail/KesariBSNS25
990,1.21,JURIX,2008,0,0,0,0,1,1,determinacy,Representing narrative and testimonial knowledge in sense-making software for crime analysis,Susan W. van den Braak; Herre van Oostendorp; Henry Prakken; Gerard Vreeswijk,,conf/jurix/BraakOPV08
991,1.21,JURIX,2009,0,0,0,1,8,0,,Link Analysis of Fuel Laundering Scams and Implications of Results for Scheme Understanding and Prosecutor Strategy,Czeslaw Jedrzejek; Maciej Falkowski; Maciej Smolenski,,conf/jurix/JedrzejekFS09
992,1.21,JURIX,2010,0,0,0,0,1,1,defeasible-fm,Argumentation with Value Judgments - An Example of Hypothetical Reasoning,Matthias Grabmair; Kevin D. Ashley,,conf/jurix/GrabmairA10
993,1.21,JURIX,2013,0,0,0,0,1,1,bounded-deontics,LKIF in Commercial Legal Practice: Transaction Configuration from Eurobonds to Copyright,Orlando Conetta; Burkhard Schafer,,conf/jurix/ConettaS13
994,1.21,JURIX,2016,0,0,0,1,8,0,,Making a Cold Start in Legal Recommendation: An Experiment,Alexander Boer; Radboud Winkels,https://pure.uva.nl/ws/files/8187553/nieuwepaper_cold_start.pdf,conf/jurix/BoerW16
995,1.21,JURIX,2020,0,0,0,1,8,0,,The Role of Vocabulary Mediation to Discover and Represent Relevant Information in Privacy Policies,Valentina Leone; Luigi Di Caro,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200851,conf/jurix/LeoneC20
996,1.21,JURIX,2023,0,0,0,0,1,1,bounded-deontics,Connecting Rule-Based and Case-Based Representations of Soft-Constraint Norms,Wachara Fungwacharakorn; Kanae Tsushima; Hiroshi Hosobe; Hideaki Takeda; Ken Satoh,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230959,conf/jurix/Fungwacharakorn23
997,1.21,JURIX,2023,0,0,0,0,1,1,intro-executable,Executing United States Bills into Law: A Working Application in the United States House,Sela Mador-Haim; Ari Hershowitz,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230969,conf/jurix/Mador-HaimH23
998,1.21,JURIX,2023,0,0,0,0,1,1,determinacy,Assessing Ocean&apos;s Legal Protection Using AI: A New Dataset and a BERT-Based Classifier,Youssef Al Mouatamid; Jihad Zahir; Marie Bonnin; Hajar Mousannif,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230972,conf/jurix/MouatamidZBM23
999,1.21,JURIX,2024,0,0,0,0,1,1,intro-executable,Fighting the Knowledge Representation Bottleneck with Large Language Models,Marco Billi; Giuseppe Pisano; Marco Sanchi,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241230,conf/jurix/BilliPS24
1000,1.21,JURIX,2024,0,0,0,0,1,1,bounded-deontics,Ontology-Based Approach for Mapping Concepts and Requirements from Regulations and Standards: The Case of the EU AI Act and International Standards,Julio Hernandez; Delaram Golpayegani; David Lewis,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241258,conf/jurix/HernandezG024
1001,1.2,ICAIL,1993,0,1,0,0,0,0,,The Use of an ATMS Inconsistency Checking of a Legal Expert System,Olav Hødnebø; Edvard Løkketangen,,conf/icail/HodneboL93
1002,1.2,ICAIL,1995,0,1,0,0,0,0,,Enhancing the Applicability of Empirical Data Using Legal Knowledge Based Systems,Jorgen S. Svensson,https://dl.acm.org/doi/pdf/10.1145/222092.222199,conf/icail/Svensson95
1003,1.2,ICAIL,2003,0,1,0,0,0,0,,A Meta-Level Approach to the Analysis of Legal Phenomena based on the Key Concept of Reduction,Clara P. Smith,,conf/icail/Smith03
1004,1.2,ICAIL,2025,0,1,0,0,0,0,,ALEXChat: a Generative - Symbolic Approach to Legal eXplainability,Marco Billi; Alessandro Parenti; Giuseppe Pisano; Marco Sanchi,https://doi.org/10.1145/3769126.3769234,conf/icail/BilliPPS25
1005,1.2,JURIX,2022,0,1,0,0,0,0,,Fundamental Revisions on Constraint Hierarchies for Ethical Norms,Wachara Fungwacharakorn; Kanae Tsushima; Ken Satoh,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220464,conf/jurix/Fungwacharakorn22
1006,1.2,JURIX,2022,0,1,0,0,0,0,,Toward an Integrated Annotation and Inference Platform for Enhancing Justifications for Algorithmically Generated Legal Recommendations and Decisions,Yi-Tang Huang; Hong-Ren Lin; Chao-Lin Liu,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220481,conf/jurix/HuangLL22
1007,1.2,JURIX,2022,0,1,0,0,0,0,,Scribe: A Specialized Collaborative Tool for Legal Judgment Annotation,Sid Ali Mahmoudi; Guillaume Zambrano; Charles Condevaux; Stéphane Mussard,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220483,conf/jurix/MahmoudiZCM22
1008,1.18,ICAIL,1989,0,0,0,1,7,0,,Legal Reasoning - a Jurisprudential Description,P. Wahlgren,https://dl.acm.org/doi/pdf/10.1145/74014.74034,conf/icail/Wahlgren89
1009,1.18,ICAIL,1991,0,0,0,1,7,0,,Loge-Expert: From a Legal Expert System to an Information System for Non-Lawyers,Louis-Claude Paquin; François Blanchard; Claude Thomasset,,conf/icail/PaquinBT91
1010,1.18,ICAIL,1995,0,0,0,1,7,0,,Context Sensitive Case Comparisons in Practical Ethics: Reasoning About Reasons,Bruce M. McLaren; Kevin D. Ashley,,conf/icail/McLarenA95
1011,1.18,ICAIL,2017,0,0,0,1,7,0,,A scalable approach to legal question answering,Zachary Bennett; Tony Russell-Rose; Kate Farmer,https://research.gold.ac.uk/id/eprint/27125/1/ICAIL2017_LexisAnswers_camera_ready%20v10.pdf,conf/icail/BennettRF17
1012,1.18,JURIX,2009,0,0,0,1,7,0,,BestPortal: Lessons Learned in Lightweight Semantic Access to Court Proceedings,Rinke Hoekstra,,conf/jurix/Hoekstra09
1013,1.18,JURIX,2021,0,0,0,1,7,0,,Semantic Search and Summarization of Judgments Using Topic Modeling,Tien-Hsuan Wu; Ben Kao; Felix Chan; Anne S. Y. Cheung; Michael M. K. Cheung; Guowen Yuan; Yongxi Chen,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210323,conf/jurix/WuKCCCYC21
1014,1.18,JURIX,2022,0,0,0,1,7,0,,Why Do Tenants Sue Their Landlords? Answers from a Topic Model,Olivier Salaün; Fabrizio Gotti; Philippe Langlais; Karim Benyekhlef,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220454,conf/jurix/SalaunGLB22
1015,1.14,ICAIL,1989,0,0,0,1,6,0,,LESTER: Using Paradigm Cases in a Quasi-Precedential Legal Domain,Kenneth A. Lambert; Mark H. Grunewald,https://dl.acm.org/doi/pdf/10.1145/74014.74027,conf/icail/LambertG89
1016,1.14,ICAIL,1997,0,0,0,1,6,0,,The Use of Lexicons in Information Retrieval in Legal Databases,J. C. Smith,,conf/icail/Smith97
1017,1.14,ICAIL,2009,0,0,0,1,6,0,,Analyzing a complaint database by means of a genetic-based data mining algorithm,Jan van Dijk; Sunil Choenni; Frans Leeuw,,conf/icail/DijkCL09
1018,1.14,ICAIL,2009,0,0,0,1,6,0,,Legal metadata interchange framework to match CEN metalex,Monica Palmirani; Luca Cervone; Fabio Vitali,,conf/icail/PalmiraniCV09
1019,1.14,ICAIL,2023,0,0,0,1,6,0,,Improving Translation of Case Descriptions into Logical Fact Formulas using LegalCaseNER,May Myo Zin; Ha-Thanh Nguyen; Ken Satoh; Saku Sugawara; Fumihito Nishino,,conf/icail/ZinNSSN23
1020,1.14,JURIX,2012,0,0,0,1,6,0,,Argument Analysis with Factor Annotation Tool,Shumpei Kubosawa; Youwei Lu; Shogo Okada; Katsumi Nitta,,conf/jurix/KubosawaLON12
1021,1.12,DEON,2008,0,0,0,0,41,0,,Information Security Economics - and Beyond,Ross J. Anderson,https://link.springer.com/content/pdf/10.1007/978-3-540-74143-5_5.pdf,conf/deon/Anderson08
1022,1.1,ICAIL,1987,0,0,0,0,38,0,,Esplex: A Rule and Conceptual Model for Representing Statutes,Carlo Biagioli; Paola Mariani; Daniela Tiscornia,https://dl.acm.org/doi/pdf/10.1145/41735.41762,conf/icail/BiagioliMT87
1023,1.09,DEON,2006,0,0,0,1,5,0,,Speech Acts with Institutional Effects in Agent Societies,Robert Demolombe; Vincent Louis,,conf/deon/DemolombeL06
1024,1.09,DEON,2010,0,0,0,1,5,0,,Forbidding Undesirable Agreements: A Dependence-Based Approach to the Regulation of Multi-agent Systems,Paolo Turrini; Davide Grossi; Jan M. Broersen; John-Jules Ch. Meyer,,conf/deon/TurriniGBM10
1025,1.09,ICAIL,1997,0,0,0,1,5,0,,The Logic of Enactment (abstract),Lambèr M. M. Royakkers; Frank Dignum,https://dl.acm.org/doi/pdf/10.1145/261618.261666,conf/icail/RoyakkersD97
1026,1.09,ICAIL,2005,0,0,0,1,5,0,,Methodological Perspectives for Legal Ontologies Building: an Interdisciplinary Experience,Danièle Bourcier; Mélanie Dulong de Rosnay; Jacky Legrand,https://shs.hal.science/halshs-00632272,conf/icail/BourcierRL05
1027,1.09,ICAIL,2005,0,0,0,1,5,0,,Computational Linguistic Support for Legal Ontology Construction,Stephan Walter; Manfred Pinkal,http://www.coli.uni-saarland.de/projects/corte/icail.pdf,conf/icail/WalterP05
1028,1.09,ICAIL,2019,0,0,0,1,5,0,,Automated Bundle Pagination Using Machine Learning,Alessandro Torrisi; Robert Bevan; Katie Atkinson; Danushka Bollegala; Frans Coenen,,conf/icail/TorrisiBABC19
1029,1.09,JURIX,2008,0,0,0,1,5,0,,Police Investigation Management System Based on the Workflow Technology,Jolanta Cybulka; Czeslaw Jedrzejek; Jacek Martinek,,conf/jurix/CybulkaJM08
1030,1.09,JURIX,2008,0,0,0,1,5,0,,Thesauri Alignment for EU eGovernment Services: a Methodological Framework,Enrico Francesconi; Sebastiano Faro; Elisabetta Marinai,,conf/jurix/FrancesconiFM08
1031,1.09,JURIX,2012,0,0,0,1,5,0,,Compiling Regular Expressions to Extract Legal Modifications,Livio Robaldo; Leonardo Lesmo; Daniele Paolo Radicioni,http://hdl.handle.net/2318/135429,conf/jurix/RobaldoLR12
1032,1.09,JURIX,2013,0,0,0,1,5,0,,Creating Context Networks in Dutch Legislation,Radboud Winkels; Alexander Boer; Ivan Plantevin,https://pure.uva.nl/ws/files/55575853/136219_Winkels.pdf,conf/jurix/WinkelsBP13
1033,1.09,JURIX,2014,0,0,0,1,5,0,,Development of the eLen Regulation Database to Support Legislation of Municipalities,Makoto Nakamura; Tokuyasu Kakuta,,conf/jurix/NakamuraK14
1034,1.09,JURIX,2019,0,0,0,1,5,0,,Governmental Transparency in the Era of Artificial Intelligence,Tom M. van Engers; Dennis M. de Vries,https://dare.uva.nl/personal/pure/en/publications/governmental-transparency-in-the-era-of-artificial-intelligence(a2dc5842-e531-4205-93f4-0a9039339ee0).html,conf/jurix/EngersV19
1035,1.09,JURIX,2019,0,0,0,1,5,0,,Comparing Alternative Factor- and Precedent-Based Accounts of Precedential Constraint,Henry Prakken,https://doi.org/10.3233/faia190308,conf/jurix/Prakken19
1036,1.09,JURIX,2019,0,0,0,1,5,0,,Neural Network Based Rhetorical Status Classification for Japanese Judgment Documents,Hiroaki Yamada; Simone Teufel; Takenobu Tokunaga,https://doi.org/10.3233/faia190314,conf/jurix/YamadaTT19
1037,1.09,JURIX,2020,0,0,0,1,5,0,,Transformers for Classifying Fourth Amendment Elements and Factors Tests,Evan Gretok; David Langerman; Wesley M. Oliver,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200850,conf/jurix/GretokLO20
1038,1.09,JURIX,2021,0,0,0,1,5,0,,A GDPR International Transfer Compliance Framework Based on an Extended Data Privacy Vocabulary (DPV),David Hickey; Rob Brennan,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210332,conf/jurix/HickeyB21
1039,1.09,JURIX,2023,0,0,0,1,5,0,,A Question-Answering Approach to Evaluating Legal Summaries,Huihui Xu; Kevin D. Ashley,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230977,conf/jurix/XuA23
1040,1.08,ICAIL,2009,0,0,0,0,35,0,,Creating an argumentation corpus: do theories apply to real arguments?: a case study on the legal argumentation of the ECHR,Raquel Mochales Palau; Aagje Ieven,,conf/icail/PalauI09
1041,1.04,ICAIL,1993,0,0,0,1,4,0,,SmartLaw: Adapting &quot;Classic&quot; Expert System Techniques for the Legal Research Domain,Carole D. Hafner; Virginia J. Wise,https://dl.acm.org/doi/pdf/10.1145/158976.158993,conf/icail/HafnerW93
1042,1.04,ICAIL,2001,0,0,0,1,4,0,,An AI investigation of citation&apos;s cognitive role,Kevin D. Ashley; Bruce M. McLaren,https://figshare.com/articles/journal_contribution/An_AI_Investigation_of_Citation_s_Epistemological_Role/6469787,conf/icail/AshleyM01
1043,1.04,ICAIL,2001,0,0,0,0,31,0,,Introducing PETE: computer support for teaching ethics,Ilya M. Goldin; Kevin D. Ashley; Rosa Lynn Pinkus,,conf/icail/GoldinAP01
1044,1.04,ICAIL,2007,0,0,0,1,4,0,,Negotiating logic: for richer or poorer,Pamela N. Gray; Xenogene Gray; John Zeleznikow,,conf/icail/GrayGZ07
1045,1.04,ICAIL,2019,0,0,0,1,4,0,,A Reliable and Accurate Multiple Choice Question Answering System for Due Diligence,Radha Chitta; Alexander K. Hudek,,conf/icail/ChittaH19
1046,1.04,JURIX,2009,0,0,0,1,4,0,,"Mediation, ODR, and the Web 2.0: A Case for Relational Justice",Marta Poblet; Pompeu Casanovas; José Manuel López Cobo; Alvaro Cabrerizo; Juan Antonio Prieto,,conf/jurix/PobletCCCP09
1047,1.04,JURIX,2018,0,0,0,1,4,0,,Efficient and Effective Case Reject-Accept Filtering: A Study Using Machine Learning,Robert Bevan; Alessandro Torrisi; Katie Atkinson; Danushka Bollegala; Frans Coenen,https://doi.org/10.3233/978-1-61499-935-5-171,conf/jurix/BevanTABC18
1048,1.04,JURIX,2020,0,0,0,1,4,0,,Retrieval of Prior Court Cases Using Witness Testimonies,Kripabandhu Ghosh; Sachin Pawar; Girish K. Palshikar; Pushpak Bhattacharyya; Vasudeva Varma,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200848,conf/jurix/GhoshPPBV20
1049,1.04,JURIX,2021,0,0,0,1,4,0,,Improving Legal Case Summarization Using Document-Specific Catchphrases,Arpan Mandal; Paheli Bhattacharya; Sekhar Mandal; Saptarshi Ghosh,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210320,conf/jurix/MandalBM021
1050,1.04,JURIX,2022,0,0,0,1,4,0,,An Interactive Natural Language Interface for PROLEG,Ha-Thanh Nguyen; Fumihito Nishino; Megumi Fujita; Ken Satoh,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220484,conf/jurix/NguyenNFS22
1051,1.03,ICAIL,2021,0,0,0,0,30,0,,Regulating artificial intelligence: a technology regulator&apos;s perspective,Joshua Ellul; Gordon J. Pace; Stephen McCarthy; Trevor Sammut; Juanita Brockdorff; Matthew Scerri,https://dl.acm.org/doi/pdf/10.1145/3462757.3466093,conf/icail/EllulPMSBS21
1052,1.0,DEON,2004,0,0,0,0,0,1,bounded-deontics,"Obligation, Contracts, and Negotiation",Mark A. Brown,,conf/deon/Brown04
1053,1.0,DEON,2006,0,0,0,0,0,1,bounded-deontics,"Roles, Counts-as and Deontic and Action Logics",José Carmo,,conf/deon/Carmo06
1054,1.0,DEON,2006,0,0,0,0,0,1,bounded-deontics,Emotion Models for Situated Normative Systems?,Paolo Petta,,conf/deon/Petta06
1055,1.0,DEON,2016,0,0,0,0,,1,bounded-deontics,A Structured Argumentation Framework for Detaching Conditional Obligations,Mathieu Beirlaen; Christian Straßer,,conf/deon/BeirlaenS16
1056,1.0,DEON,2016,0,0,0,0,,1,bounded-deontics,Basic Action Deontic Logic,Alessandro Giordani; Ilaria Canavotto,,conf/deon/GiordaniC16
1057,1.0,DEON,2016,0,0,0,0,,1,bounded-deontics,Sequence Semantics for Norms and Obligations,Guido Governatori; Francesco Olivieri; Erica Calardo; Antonino Rotolo,,conf/deon/GovernatoriOCR16
1058,1.0,DEON,2016,0,0,0,0,,1,bounded-deontics,Conditional Normative Reasoning with Substructural Logics,Clayton Peterson; Piotr Kulicki,,conf/deon/PetersonK16
1059,1.0,DEON,2016,0,0,0,0,,1,bounded-deontics,Coarse Deontic Logic (short version),Frederik Van De Putte,,conf/deon/Putte16
1060,1.0,DEON,2018,0,0,0,0,,1,intro-executable,A Formalization of Kant&apos;s Second Formulation of the Categorical Imperative,Felix Lindner; Martin Mose Bentzen,,conf/deon/0001B18
1061,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,A Dyadic Deontic Logic in HOL,Christoph Benzmüller; Ali Farjami; Xavier Parent,,conf/deon/BenzmullerFP18
1062,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,Normative Conflicts in a Dynamic Logic of Norms and Codes,Ilaria Canavotto; Alessandro Giordani,,conf/deon/CanavottoG18
1063,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,Resolving Conflicting Obligations in M={I}M={A}S={A}: a Sequent-based Approach,Agata Ciabattoni; Francesca Gulisano; Björn Lellmann,,conf/deon/CiabattoniGL18
1064,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,S5 as a Deontic Logic,Fengkui Ju,,conf/deon/Ju18
1065,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,Contraction of Combined Normative Sets,Juliano Maranhão; Edelcio Gonçalves de Souza,,conf/deon/MaranhaoS18
1066,1.0,DEON,2018,0,0,0,0,,1,bounded-deontics,How to Take Heroin (if at all). Holistic Detachment in Deontic Logic,Frederik Van De Putte; Stefan Frijters; Joke Meheus,,conf/deon/PutteFM18
1067,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,The Varieties of Ought-Implies-Can and Deontic STIT Logic,Kees van Berkel; Tim S. Lyon,,conf/deon/0002L21
1068,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Deontic Action Logics via Algebra,Pablo F. Castro; Valentin Cassano; Raul Fervari; Carlos Areces,,conf/deon/CastroCFA21
1069,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Impossible and Conflicting Obligations in Justification Logic,Federico L. G. Faroldi; Meghdad Ghari,,conf/deon/FaroldiG21
1070,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,The Manchester Twins: Conflicts Between Directed Obligations,Stef Frijters; Thijs De Coninck,,conf/deon/FrijtersC21
1071,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Reason-Based Deontic Logic,Alessandro Giordani,,conf/deon/Giordani21
1072,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,A Reduction in Violation Logic,Timo Lang,,conf/deon/Lang21
1073,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Deontic Logic Based on Inquisitive Semantics,Karl Nygren,,conf/deon/Nygren21
1074,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Input/Output Logic With a Consistency Check - the Case of Permission,Maya Olszewski; Xavier Parent; Leendert van der Torre,,conf/deon/OlszewskiPT21
1075,1.0,DEON,2021,0,0,0,0,,1,bounded-deontics,Term-Sequence-Dyadic Deontic Logic,Takahiro Sawasaki; Katsuhiko Sano,,conf/deon/SawasakiS21
1076,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Inconsistent Precedents and Deontic Logic,Ilaria Canavotto,,conf/deon/Canavotto23
1077,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Rights and Practical Reasoning in Deontic Logic,Huimin Dong; Dragan Doder; Xu Li; Réka Markovich; Leendert van der Torre; Marc van Zee,,conf/deon/DongDLMTZ23
1078,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,An Andersonian-Kangerian Reduction of Term-Modal Deontic Logics,Stef Frijters,,conf/deon/Frijters23
1079,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Deontic Logic in a Hierarchical Framework,Rodrigo Mena González,,conf/deon/Gonzalez23
1080,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Normative Properties of Sequential Actions,Fengkui Ju; Karl Nygren,,conf/deon/JuN23
1081,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Beyond Reasons and Obligations: A Dual-Role Approach to Reasons and Supererogation,Aleks Knoks; David Streit,,conf/deon/KnoksS23
1082,1.0,DEON,2023,0,0,0,0,,1,bounded-deontics,Proof Theory for Admissibility in Two-Player (Deontic) Games,Edi Pavlovic; Frederik Van De Putte,,conf/deon/PavlovicP23
