rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
468,4.64,ICAIL,2003,0,0,0,5,55,2,bounded-deontics,Automated Extraction of Normative References in Legal Texts,Monica Palmirani; Raffaella Brighi; Matteo Massini,,conf/icail/PalmiraniBM03
469,4.62,ICAIL,1997,1,0,0,0,7,0,,The Zeno Argumentation Framework,Thomas F. Gordon; Nikos I. Karacapilidis,,conf/icail/GordonK97
470,4.61,ICAIL,2009,0,2,0,0,56,1,cnl,Integrating induction and deduction for finding evidence of discrimination,Dino Pedreschi; Salvatore Ruggieri; Franco Turini,,conf/icail/PedreschiRT09
471,4.61,ICAIL,2015,0,2,0,0,1,2,determinacy,Incorporation of complex doctrinal theories in a model of statutory interpretation: an example of adequate causal link,Michal Araszkiewicz,http://ruj.uj.edu.pl/xmlui/handle/item/13412,conf/icail/Araszkiewicz15
472,4.61,ICAIL,2023,0,2,0,1,8,1,determinacy,Automatic Identification and Empirical Analysis of Legally Relevant Factors,Morgan A. Gray; Jaromír Savelka; Wesley M. Oliver; Kevin D. Ashley,,conf/icail/GraySOA23
473,4.6,ICAIL,2025,0,3,0,0,0,1,bounded-deontics,Curb Your Enthusiasm: Towards a RAG Framework to Forecast Case Importance in the ECHR,David Bareham; Katie Atkinson; Jack Mumford; Jeremy Marshall,https://doi.org/10.1145/3769126.3769238,conf/icail/BarehamAMM25
474,4.58,ICAIL,2019,0,2,0,1,7,1,bounded-deontics,NAI: The Normative Reasoner,Tomer Libal; Alexander Steen,,conf/icail/LibalS19
475,4.58,JURIX,2018,1,0,0,0,6,0,,A Chatbot Framework for the Children&apos;s Legal Centre,Jay Paul Morgan; Adeline Paiement; Monika Seisenberger; Jane Williams; Adam Wyner,https://cronfa.swan.ac.uk/Record/cronfa48384/Download/0048384-22012019170852.pdf,conf/jurix/MorganPSWW18
476,4.54,ICAIL,2021,0,2,0,4,16,0,,"Toward summarizing case decisions via extracting argument issues, reasons, and conclusions",Huihui Xu; Jaromír Savelka; Kevin D. Ashley,,conf/icail/XuSA21
477,4.54,JURIX,2022,1,0,0,0,5,0,,Predicting Outcomes of Italian VAT Decisions,Federico Galli; Giulia Grundler; Alessia Fidelangeli; Andrea Galassi; Francesca Lagioia; Elena Palmieri; Federico Ruggeri; Giovanni Sartor; Paolo Torroni,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220465,conf/jurix/GalliGFGLPRST22
478,4.52,ICAIL,2013,0,1,0,1,12,2,bounded-deontics,Modificatory provisions detection: a hybrid NLP approach,Davide Gianfelice; Leonardo Lesmo; Monica Palmirani; Daniele Perlo; Daniele Paolo Radicioni,,conf/icail/GianfeliceLPPR13
479,4.49,JURIX,2020,0,2,0,3,25,0,,Using Argument Mining for Legal Text Summarization,Huihui Xu; Jaromír Savelka; Kevin D. Ashley,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200862,conf/jurix/XuSA20
480,4.46,ICAIL,2021,0,1,1,1,1,1,bounded-deontics,Modelling legal procedures,Antonino Rotolo; Clara Smith,,conf/icail/RotoloS21
481,4.45,DEON,2004,0,1,0,3,44,1,bounded-deontics,A Proposal for Dealing with Deontic Dilemmas,Lou Goble,,conf/deon/Goble04
482,4.44,JURIX,2010,0,2,0,1,4,1,determinacy,Generic Problem Solving Tasks and Agent Roles in Public Administration,Alexander Boer; Tom M. van Engers,,conf/jurix/BoerE10
483,4.43,ICAIL,2011,0,1,1,2,16,0,,Reasons and precedent,John F. Horty,,conf/icail/Horty11
484,4.3,DEON,2006,0,1,0,3,26,1,bounded-deontics,A Logical Architecture of a Normative System,Guido Boella; Leendert W. N. van der Torre,http://link.springer.com/chapter/10.1007/11786849_5,conf/deon/BoellaT06
485,4.3,ICAIL,2003,0,2,0,3,13,0,,Classification and Clustering for Case-Based Criminal Summary Judgement,Chao-Lin Liu; Cheng-Tsung Chang; Jim-How Ho,,conf/icail/LiuCH03
486,4.26,ICAIL,1989,0,0,1,8,27,0,,Representing and Reusing Explanations of Legal Precedents,Karl Branting,,conf/icail/Branting89
487,4.25,ICAIL,1987,0,0,0,12,54,1,bounded-deontics,Conceptual Organization of Case Law Knowledge Bases,Carole D. Hafner,,conf/icail/Hafner87
488,4.22,DEON,2014,0,3,0,0,7,0,,Self-governance by Transfiguration: From Learning to Prescriptions,Régis Riveret; Alexander Artikis; Dídac Busquets; Jeremy Pitt,,conf/deon/RiveretABP14
489,4.21,ICAIL,1991,1,0,0,0,1,0,,An Application of the Expert System Shell Sigma-kilagi to the Study of Benefits Regulation of Bologna University,Giovanni Dallara; Carlo Gattei; Giovanni Sartor,,conf/icail/DallaraGS91
490,4.21,JURIX,2013,1,0,0,0,1,0,,Assessing Liability with Argumentation Maps: An Application in Aviation Law,Giuseppe Contissa; Migle Laukyte; Giovanni Sartor; Hanna Schebesta,,conf/jurix/ContissaLSS13
491,4.21,JURIX,2017,1,0,0,0,1,0,,Temporalised Belief Revision in the Law,Luciano H. Tamargo; Diego C. Martínez; Antonino Rotolo; Guido Governatori,https://doi.org/10.3233/978-1-61499-838-9-49,conf/jurix/TamargoMRG17
492,4.21,JURIX,2023,0,0,0,0,1,4,determinacy,Conceptual Structures in Statutory Interpretation,Michal Araszkiewicz,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230952,conf/jurix/Araszkiewicz23
493,4.21,JURIX,2025,1,0,0,0,1,0,,A Two-Dimensional Evaluation Framework for Factual and Reasoning Assessment of LLMs in Legal Question Answering,Sinan Gultekin; Matteo Rossi Reich; Francesca Galloni; Francesca Lagioia; Elena Consiglio; Giovanni Sartor; Sara Bagnato,https://doi.org/10.3233/faia251579,conf/jurix/GultekinRGLCSB25
494,4.2,ICAIL,2001,0,1,0,8,61,0,,Improving the representation of legal case texts with information extraction methods,Stefanie Brüninghaus; Kevin D. Ashley,,conf/icail/BruninghausA01
